14:16:29.035 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB1 state : RUNNING
14:16:39.036 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB0 state : CANCELED
14:16:39.036 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB2 state : RUNNING
14:16:39.036 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB1 state : RUNNING
14:16:49.036 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB0 state : CANCELED
14:16:49.036 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB2 state : RUNNING
14:16:49.036 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB1 state : RUNNING
14:16:59.036 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB0 state : CANCELED
14:16:59.036 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB2 state : RUNNING
14:16:59.036 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB1 state : RUNNING
14:17:00.000 [ThreadPoolTaskScheduler-1] INFO  o.j.cron.job.test.TestJobRunable - test job runing... moni akka proxy send msg...2017-08-30 14:17:00 LAB1
14:17:00.000 [ThreadPoolTaskScheduler-1] INFO  o.j.cron.job.test.TestJobRunable - moni akka proxy send msg...
14:17:00.001 [ThreadPoolTaskScheduler-1] INFO  o.j.cron.job.test.TestJobRunable - test job runing... moni akka proxy send msg...2017-08-30 14:17:00 LAB2
14:17:00.001 [ThreadPoolTaskScheduler-1] INFO  o.j.cron.job.test.TestJobRunable - moni akka proxy send msg...
14:17:09.037 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB0 state : CANCELED
14:17:09.037 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB2 state : RUNNING
14:17:09.037 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB1 state : RUNNING
14:17:19.037 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB0 state : CANCELED
14:17:19.037 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB2 state : RUNNING
14:17:19.037 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB1 state : RUNNING
14:17:29.038 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB0 state : CANCELED
14:17:29.038 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB2 state : RUNNING
14:17:29.038 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB1 state : RUNNING
14:17:39.038 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB0 state : CANCELED
14:17:39.038 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB2 state : RUNNING
14:17:39.038 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB1 state : RUNNING
14:17:49.039 [Thread-2] INFO  o.jrocky.cron.job.support.CronUtils - taskId : LAB0 state : CANCELED
